モンスター名,HP,攻撃,守備,種1,種2
ンドゥバ87才,100,130,50,0,0
ンドゥバべいじゅ,100,130,50,0,0
ンドゥバ89才,100,120,40,0,0
ンドゥバそつじゅ,100,100,20,0,0
ンドゥバ91才,50,50,10,0,0
ンドゥバ92才,25,20,8,0,0
ンドゥバ93才,12,10,7,0,0
ンドゥバ94才,10,6,6,0,0
ンドゥバ95才,9,5,5,0,0
ンドゥバ96才,8,4,4,0,0
ンドゥバ97才,7,3,3,0,0
ンドゥバ98才,6,2,2,0,0
ンドゥバはくじゅ,1,1,1,0,0
プチフェニックス,75,23,29,0,128
シャーガ,37,19,18,8,72
ナシャーガ,85,36,50,8,72
ラシャーガ,100,58,63,8,72
シューベル,45,18,23,0,0
メンベルス,60,50,49,0,0
ベルトーベン,80,55,40,0,0
パコレプキン,38,20,16,0,4
パコレプキーナ,50,24,18,0,4
パコレプキング,80,60,43,0,4
ワラドール,25,13,15,0,0
クギワラドール,80,42,50,0,0
ゴスンドール,100,66,54,0,0
ハラヘリーニョ,15,9,10,0,2
ハラヘリータ,52,18,22,0,2
ハラヘッリオ,80,40,43,0,2
ハラベルト,70,48,49,0,2
マルジロウ,12,8,8,0,0
マルジロウ兄,13,9,11,0,0
マルジロウ父,70,37,37,0,0
かんにんぶくろ,120,16,15,16,0
ものまね仮面,20,5,5,0,0
ふるまいカブリ,100,15,25,0,0
なりきりマスク,130,20,40,0,0
ケロぼうず,6,6,6,0,0
ケロケロぼうず,20,11,14,0,0
ジャノメぼうず,65,20,21,0,0
ドシャブリぼうず,85,46,50,0,0
イダテン,35,18,18,8,4
シップウ,60,18,23,8,4
カミカゼ,100,33,55,8,4
ダイレップウ,133,58,66,8,4
Mr.ブーン,16,6,8,0,0
Mr.ヘリコ,18,8,10,0,0
Mr.ジャイロ,20,10,15,0,0
パ王,55,20,19,0,0
パオパ王,66,32,26,0,0
パオパ王ーン,130,98,70,0,0
ボウヤー,17,11,10,0,0
コドモ戦車,26,10,12,0,0
オヤジ戦車,41,13,17,16,0
イッテツ戦車,95,20,52,16,0
馬武者,26,12,13,0,0
荒馬ザムライ,79,35,39,0,0
あばれ馬将軍,90,45,58,0,0
乱れ馬王,110,59,61,0,0
ウルロイド,52,20,20,16,0
ゴリボット,95,69,58,16,0
ベアボーグ,120,80,63,16,0
アイアンヘッド,40,21,19,0,24
チェインヘッド,69,30,24,0,24
ギガヘッド,140,120,71,0,24
バットカンガルー,44,16,17,0,0
エビルカンガルー,55,24,20,0,0
デビルカンガルー,65,37,40,0,0
エスカルゴン,119,25,40,0,0
マゼルン,32,19,16,0,0
マゼモン,50,25,21,0,0
マゼゴン,121,48,52,0,0
タベラレルー,6,1,1,0,0
スイテキマル,12,7,7,0,0
ジライヤ,30,17,15,0,0
ショウカンマル,32,18,16,0,0
ダイジライヤ,69,33,38,0,0
ひまガッパ,20,11,14,0,32
いやすぎガッパ,50,20,30,0,32
たまらんガッパ,70,40,57,0,32
ピコタン,13,9,6,0,0
ポコタン,60,30,29,0,0
パコタン,75,55,40,0,0
ドスコーイ,72,29,30,0,0
ハッキョーイ,80,75,55,0,0
ゴッツァーン,105,94,64,0,0
ヒツジ神官,27,14,14,0,0
ヤギ司祭,29,17,16,0,0
ガゼル教皇,87,55,55,0,0
タイガーウッホ,33,16,15,0,8
タイガーウホホ,40,26,27,0,8
タイガーウホーン,72,62,60,0,8
ギャドン,40,23,17,0,0
ギャイラス,65,39,45,0,0
ギャンドラー,86,60,58,0,0
足軽どん,10,5,5,8,0
侍どん,23,12,12,9,0
大将どん,31,16,19,8,0
殿様どん,65,30,33,8,0
テッポーウオー,15,5,10,0,96
テッポウ竜,29,16,15,0,96
キングオトシゴン,75,15,40,0,96
シャチーン,50,25,35,0,32
シャチーダ,80,55,42,0,32
シャチオーン,90,60,62,0,32
水龍,55,22,19,0,96
海龍,75,44,43,0,96
水神龍,100,50,60,0,96
オトト兵,30,10,3,0,32
オトト軍曹,40,12,4,0,32
オトト大将,50,16,5,0,32
オトトげんすい,100,30,23,0,32
ゴーレム,43,20,18,0,24
ストーンゴーレム,70,40,40,0,24
マグマゴーレム,95,50,51,0,24
ヤミキチ,10,6,6,8,4
ワルキチ,21,16,12,8,4
ズルキチ,101,49,35,8,4
毒サソリ,28,15,17,0,2
鬼サソリ,65,27,24,0,2
しびれサソリ,125,108,73,0,2
ボーンドラゴン,61,23,20,0,76
スカルドラゴン,80,48,35,0,76
ガルムドラゴン,132,104,62,0,76
岩獣ズドン,55,27,21,0,0
岩獣ガガン,70,28,26,0,0
岩獣ドガガーン,115,102,71,0,0
チビオニ,12,10,6,2,0
ゴツオニ,60,15,20,2,0
ズングリオニ,60,15,20,2,0
ヤセオニ,50,9,18,2,0
ヒョロオニ,41,10,16,2,0
ガリガリオニ,50,13,17,2,0
ヨロイグモ,55,21,23,0,0
女王グモ,170,30,30,0,0
アメンジャ,54,18,20,0,32
ガラハ,71,21,23,10,0
鬼親分,450,45,40,2,128
店主,500,200,50,0,0
店長,700,300,70,0,0
大店長,900,400,90,0,0
とうぞく番,150,150,40,0,0
番犬,100,50,40,0,0
行商人,500,10,50,0,0
おしうり,700,10,70,0,0
